tract,yr_id,name,households
1,2020,"Less than $15,000",28
1,2020,"$15,000 to $29,999",0
1,2020,"$30,000 to $44,999",55
1,2020,"$45,000 to $59,999",29
1,2020,"$60,000 to $74,999",49
1,2020,"$75,000 to $99,999",120
1,2020,"$100,000 to $124,999",74
1,2020,"$125,000 to $149,999",124
1,2020,"$150,000 to $199,999",97
1,2020,"$200,000 or more",660
1,2021,"Less than $15,000",27
1,2021,"$15,000 to $29,999",9
1,2021,"$30,000 to $44,999",76
1,2021,"$45,000 to $59,999",15
1,2021,"$60,000 to $74,999",71
1,2021,"$75,000 to $99,999",125
1,2021,"$100,000 to $124,999",61
1,2021,"$125,000 to $149,999",103
1,2021,"$150,000 to $199,999",105
1,2021,"$200,000 or more",642
1,2022,"Less than $15,000",1
1,2022,"$15,000 to $29,999",9
1,2022,"$30,000 to $44,999",69
1,2022,"$45,000 to $59,999",44
1,2022,"$60,000 to $74,999",64
1,2022,"$75,000 to $99,999",121
1,2022,"$100,000 to $124,999",66
1,2022,"$125,000 to $149,999",103
1,2022,"$150,000 to $199,999",105
1,2022,"$200,000 or more",657
10,2020,"Less than $15,000",161
10,2020,"$15,000 to $29,999",220
10,2020,"$30,000 to $44,999",129
10,2020,"$45,000 to $59,999",350
10,2020,"$60,000 to $74,999",400
10,2020,"$75,000 to $99,999",377
10,2020,"$100,000 to $124,999",476
10,2020,"$125,000 to $149,999",85
10,2020,"$150,000 to $199,999",33
10,2020,"$200,000 or more",324
10,2021,"Less than $15,000",141
10,2021,"$15,000 to $29,999",185
10,2021,"$30,000 to $44,999",153
10,2021,"$45,000 to $59,999",354
10,2021,"$60,000 to $74,999",263
10,2021,"$75,000 to $99,999",525
10,2021,"$100,000 to $124,999",234
10,2021,"$125,000 to $149,999",265
10,2021,"$150,000 to $199,999",147
10,2021,"$200,000 or more",264
10,2022,"Less than $15,000",97
10,2022,"$15,000 to $29,999",196
10,2022,"$30,000 to $44,999",174
10,2022,"$45,000 to $59,999",409
10,2022,"$60,000 to $74,999",253
10,2022,"$75,000 to $99,999",507
10,2022,"$100,000 to $124,999",229
10,2022,"$125,000 to $149,999",247
10,2022,"$150,000 to $199,999",149
10,2022,"$200,000 or more",270
100.01,2020,"Less than $15,000",28
100.01,2020,"$15,000 to $29,999",62
100.01,2020,"$30,000 to $44,999",104
100.01,2020,"$45,000 to $59,999",143
100.01,2020,"$60,000 to $74,999",100
100.01,2020,"$75,000 to $99,999",211
100.01,2020,"$100,000 to $124,999",67
100.01,2020,"$125,000 to $149,999",110
100.01,2020,"$150,000 to $199,999",208
100.01,2020,"$200,000 or more",89
100.01,2021,"Less than $15,000",101
100.01,2021,"$15,000 to $29,999",61
100.01,2021,"$30,000 to $44,999",119
100.01,2021,"$45,000 to $59,999",86
100.01,2021,"$60,000 to $74,999",27
100.01,2021,"$75,000 to $99,999",241
100.01,2021,"$100,000 to $124,999",91
100.01,2021,"$125,000 to $149,999",111
100.01,2021,"$150,000 to $199,999",162
100.01,2021,"$200,000 or more",108
100.01,2022,"Less than $15,000",77
100.01,2022,"$15,000 to $29,999",63
100.01,2022,"$30,000 to $44,999",128
100.01,2022,"$45,000 to $59,999",102
100.01,2022,"$60,000 to $74,999",30
100.01,2022,"$75,000 to $99,999",236
100.01,2022,"$100,000 to $124,999",89
100.01,2022,"$125,000 to $149,999",107
100.01,2022,"$150,000 to $199,999",169
100.01,2022,"$200,000 or more",110
100.03,2020,"Less than $15,000",144
100.03,2020,"$15,000 to $29,999",52
100.03,2020,"$30,000 to $44,999",122
100.03,2020,"$45,000 to $59,999",111
100.03,2020,"$60,000 to $74,999",129
100.03,2020,"$75,000 to $99,999",284
100.03,2020,"$100,000 to $124,999",234
100.03,2020,"$125,000 to $149,999",249
100.03,2020,"$150,000 to $199,999",97
100.03,2020,"$200,000 or more",57
100.03,2021,"Less than $15,000",142
100.03,2021,"$15,000 to $29,999",23
100.03,2021,"$30,000 to $44,999",137
100.03,2021,"$45,000 to $59,999",94
100.03,2021,"$60,000 to $74,999",128
100.03,2021,"$75,000 to $99,999",309
100.03,2021,"$100,000 to $124,999",252
100.03,2021,"$125,000 to $149,999",221
100.03,2021,"$150,000 to $199,999",79
100.03,2021,"$200,000 or more",69
100.03,2022,"Less than $15,000",110
100.03,2022,"$15,000 to $29,999",19
100.03,2022,"$30,000 to $44,999",156
100.03,2022,"$45,000 to $59,999",116
100.03,2022,"$60,000 to $74,999",129
100.03,2022,"$75,000 to $99,999",311
100.03,2022,"$100,000 to $124,999",248
100.03,2022,"$125,000 to $149,999",223
100.03,2022,"$150,000 to $199,999",85
100.03,2022,"$200,000 or more",70
100.04,2020,"Less than $15,000",48
100.04,2020,"$15,000 to $29,999",129
100.04,2020,"$30,000 to $44,999",156
100.04,2020,"$45,000 to $59,999",87
100.04,2020,"$60,000 to $74,999",57
100.04,2020,"$75,000 to $99,999",156
100.04,2020,"$100,000 to $124,999",114
100.04,2020,"$125,000 to $149,999",159
100.04,2020,"$150,000 to $199,999",131
100.04,2020,"$200,000 or more",60
100.04,2021,"Less than $15,000",46
100.04,2021,"$15,000 to $29,999",51
100.04,2021,"$30,000 to $44,999",158
100.04,2021,"$45,000 to $59,999",85
100.04,2021,"$60,000 to $74,999",11
100.04,2021,"$75,000 to $99,999",185
100.04,2021,"$100,000 to $124,999",124
100.04,2021,"$125,000 to $149,999",146
100.04,2021,"$150,000 to $199,999",158
100.04,2021,"$200,000 or more",114
100.04,2022,"Less than $15,000",36
100.04,2022,"$15,000 to $29,999",52
100.04,2022,"$30,000 to $44,999",170
100.04,2022,"$45,000 to $59,999",97
100.04,2022,"$60,000 to $74,999",11
100.04,2022,"$75,000 to $99,999",181
100.04,2022,"$100,000 to $124,999",118
100.04,2022,"$125,000 to $149,999",137
100.04,2022,"$150,000 to $199,999",161
100.04,2022,"$200,000 or more",119
100.05,2020,"Less than $15,000",624
100.05,2020,"$15,000 to $29,999",392
100.05,2020,"$30,000 to $44,999",189
100.05,2020,"$45,000 to $59,999",125
100.05,2020,"$60,000 to $74,999",101
100.05,2020,"$75,000 to $99,999",101
100.05,2020,"$100,000 to $124,999",171
100.05,2020,"$125,000 to $149,999",128
100.05,2020,"$150,000 to $199,999",143
100.05,2020,"$200,000 or more",45
100.05,2021,"Less than $15,000",685
100.05,2021,"$15,000 to $29,999",281
100.05,2021,"$30,000 to $44,999",145
