jurisdiction,yr_id,long_name,units,unoccupiable,occupied,vacancy
Carlsbad,2016,Multifamily,13511,703,12679,832
Carlsbad,2016,Mobile Home,1315,120,1194,121
Carlsbad,2016,Single-family Detached,24979,1005,23566,1413
Carlsbad,2016,Single-family Attached,6347,310,5927,420
Carlsbad,2018,Multifamily,13290,656,12556,734
Carlsbad,2018,Mobile Home,1317,120,1196,121
Carlsbad,2018,Single-family Detached,25979,1005,24631,1348
Carlsbad,2018,Single-family Attached,6383,310,6013,370
Carlsbad,2020,Multifamily,13894,656,13046,848
Carlsbad,2020,Mobile Home,1317,120,1197,120
Carlsbad,2020,Single-family Detached,26487,1005,25140,1347
Carlsbad,2020,Single-family Attached,6383,310,6033,350
Carlsbad,2025,Multifamily,14565,656,13640,925
Carlsbad,2025,Mobile Home,1317,120,1197,120
Carlsbad,2025,Single-family Detached,27034,1005,25598,1436
Carlsbad,2025,Single-family Attached,6383,310,6044,339
Carlsbad,2030,Multifamily,15161,656,14183,978
Carlsbad,2030,Mobile Home,1317,120,1197,120
Carlsbad,2030,Single-family Detached,27376,1005,25878,1498
Carlsbad,2030,Single-family Attached,6383,310,6048,335
Carlsbad,2035,Multifamily,16038,656,14989,1049
Carlsbad,2035,Mobile Home,1317,120,1197,120
Carlsbad,2035,Single-family Detached,27814,1005,26273,1541
Carlsbad,2035,Single-family Attached,6383,310,6055,328
Carlsbad,2040,Multifamily,16181,656,15120,1061
Carlsbad,2040,Mobile Home,1317,120,1197,120
Carlsbad,2040,Single-family Detached,27911,1005,26411,1500
Carlsbad,2040,Single-family Attached,6640,310,6083,557
Carlsbad,2045,Multifamily,16304,656,15223,1081
Carlsbad,2045,Mobile Home,1317,120,1197,120
Carlsbad,2045,Single-family Detached,27997,1005,26505,1492
Carlsbad,2045,Single-family Attached,6648,310,6098,550
Carlsbad,2050,Multifamily,16350,656,15304,1046
Carlsbad,2050,Mobile Home,1317,120,1197,120
Carlsbad,2050,Single-family Detached,28025,1005,26596,1429
Carlsbad,2050,Single-family Attached,6802,310,6149,653
Chula Vista,2016,Multifamily,28499,455,27755,744
Chula Vista,2016,Mobile Home,3685,43,3635,50
Chula Vista,2016,Single-family Detached,40954,788,39589,1365
Chula Vista,2016,Single-family Attached,9656,198,9235,421
Chula Vista,2018,Multifamily,28992,448,27916,1076
Chula Vista,2018,Mobile Home,3868,43,3694,174
Chula Vista,2018,Single-family Detached,41208,788,39779,1429
Chula Vista,2018,Single-family Attached,9666,198,9314,352
Chula Vista,2020,Multifamily,29262,448,28236,1026
Chula Vista,2020,Mobile Home,3868,43,3738,130
Chula Vista,2020,Single-family Detached,41913,788,40306,1607
